user_id,event_time,abandond,discount
473613801,2019-12-01 0:17:50,1,0
547853931,2019-12-01 0:20:47,0,0
433063720,2019-12-01 0:25:37,1,0
494077766,2019-12-01 0:26:15,0,0
579950721,2019-12-01 0:43:51,0,0
361564578,2019-12-01 0:47:45,0,0
412120092,2019-12-01 1:05:26,0,0.1
252159723,2019-12-01 1:08:54,0,0
436271415,2019-12-01 1:15:01,0,0
579982297,2019-12-01 1:15:16,0,0
234044775,2019-12-01 1:17:30,0,0
356011474,2019-12-01 1:18:32,1,0.5
576802932,2019-12-01 1:30:47,1,0
556337981,2019-12-01 2:00:03,0,0.15
443163709,2019-12-01 2:09:57,0,0
399500412,2019-12-01 2:11:25,0,0
532955590,2019-12-01 2:41:20,0,0
569278192,2019-12-01 2:50:53,0,0
552860275,2019-12-01 3:05:24,0,0
580001287,2019-12-01 3:09:51,1,0
580017110,2019-12-01 3:19:10,0,0
521821140,2019-12-01 3:20:30,0,0
559155927,2019-12-01 3:22:55,0,0.1
578022098,2019-12-01 3:23:09,0,0
579373654,2019-12-01 3:27:45,0,0
446175546,2019-12-01 3:32:18,0,0
403288877,2019-12-01 3:37:39,0,0
536575089,2019-12-01 3:37:41,0,0.1
537868079,2019-12-01 3:39:44,0,0
405972375,2019-12-01 3:43:59,0,0
543041103,2019-12-01 3:47:07,0,0
575187011,2019-12-01 3:47:21,0,0
580027037,2019-12-01 3:50:35,0,0.1
372673204,2019-12-01 4:18:04,0,0
580026195,2019-12-01 4:25:54,1,0.5
580038556,2019-12-01 4:30:17,0,0
538742531,2019-12-01 4:35:15,0,0
562396937,2019-12-01 4:52:51,0,0.15
403325248,2019-12-01 4:55:18,0,0
279430445,2019-12-01 4:59:09,0,0
578866562,2019-12-01 5:06:20,0,0
580047010,2019-12-01 5:20:55,1,0
580025231,2019-12-01 5:30:06,0,0
513931240,2019-12-01 5:35:55,0,0
462960605,2019-12-01 5:38:42,1,0
483642518,2019-12-01 5:44:13,0,0
433193502,2019-12-01 5:44:55,0,0
580064025,2019-12-01 5:48:08,0,0
434880985,2019-12-01 5:48:57,1,0
580053614,2019-12-01 5:51:47,0,0
580036429,2019-12-01 5:53:10,0,0
305464808,2019-12-01 5:54:15,0,0
411115153,2019-12-01 5:57:12,0,0
503845194,2019-12-01 5:59:53,1,0
559344368,2019-12-01 6:00:09,1,0.15
574710774,2019-12-01 6:06:24,0,0
580056479,2019-12-01 6:06:43,0,0
554201837,2019-12-01 6:08:13,0,0.1
571600331,2019-12-01 6:25:50,0,0.25
557560536,2019-12-01 6:26:22,0,0.25
554748899,2019-12-01 6:31:16,1,0.1
578048211,2019-12-01 6:32:01,0,0
358019213,2019-12-01 6:32:54,0,0.1
548709893,2019-12-01 6:36:13,0,0
563698855,2019-12-01 6:37:03,0,0.1
385984912,2019-12-01 6:40:46,0,0
538394745,2019-12-01 6:44:26,0,0
380113376,2019-12-01 6:44:27,0,0
580050141,2019-12-01 6:44:50,0,0
541146563,2019-12-01 6:47:04,0,0
403343899,2019-12-01 6:50:39,0,0
566109793,2019-12-01 6:50:50,0,0
563866037,2019-12-01 6:53:28,0,0
522611277,2019-12-01 7:00:46,0,0
504142775,2019-12-01 7:02:48,0,0.1
334285886,2019-12-01 7:03:21,0,0
573538815,2019-12-01 7:04:46,0,0
471838844,2019-12-01 7:07:34,0,0
579896006,2019-12-01 7:10:41,1,0
458787386,2019-12-01 7:13:55,0,0
469258750,2019-12-01 7:15:40,0,0
449603358,2019-12-01 7:18:12,0,0
580092943,2019-12-01 7:18:49,0,0
579682046,2019-12-01 7:19:32,0,0
579982297,2019-12-01 7:20:06,1,0
556579890,2019-12-01 7:24:46,1,0
431821216,2019-12-01 7:25:21,0,0
534305618,2019-12-01 7:26:17,0,0.25
580100376,2019-12-01 7:31:33,0,0.5
579982297,2019-12-01 7:32:01,1,0
490632556,2019-12-01 7:32:04,1,0.5
580094927,2019-12-01 7:32:50,0,0
580093426,2019-12-01 7:34:10,0,0.1
571126308,2019-12-01 7:34:21,0,0
576624722,2019-12-01 7:34:57,0,0
565156457,2019-12-01 7:35:08,0,0
580103296,2019-12-01 7:35:42,0,0.1
567607730,2019-12-01 7:36:15,1,0
292033337,2019-12-01 7:36:29,0,0.1
231761005,2019-12-01 7:37:16,0,0
351291383,2019-12-01 7:38:16,1,0.1
564830968,2019-12-01 7:42:49,0,0
468028339,2019-12-01 7:43:02,0,0.25
579862385,2019-12-01 7:43:38,0,0
527958340,2019-12-01 7:50:23,0,0
580103208,2019-12-01 7:50:43,0,0
578186009,2019-12-01 7:51:10,0,0
430318653,2019-12-01 7:51:37,1,0.1
514505261,2019-12-01 7:51:43,0,0
115398528,2019-12-01 7:53:08,1,0
528839764,2019-12-01 7:53:51,0,0
426521060,2019-12-01 8:00:27,1,0
550427748,2019-12-01 8:01:31,0,0
499080994,2019-12-01 8:02:20,0,0
377153707,2019-12-01 8:03:22,0,0
572450208,2019-12-01 8:07:47,1,0.25
500550127,2019-12-01 8:14:48,0,0.25
557237463,2019-12-01 8:18:36,0,0
342344356,2019-12-01 8:19:13,0,0
458855541,2019-12-01 8:24:11,0,0.15
471399701,2019-12-01 8:26:59,0,0
572131417,2019-12-01 8:28:06,0,0
564658360,2019-12-01 8:28:11,1,0
508843109,2019-12-01 8:32:15,0,0
562224271,2019-12-01 8:32:36,0,0
479204796,2019-12-01 8:33:48,0,0
372654204,2019-12-01 8:34:10,0,0
308409464,2019-12-01 8:34:55,0,0
579900325,2019-12-01 8:36:23,0,0.1
406868405,2019-12-01 8:38:48,1,0.1
421017024,2019-12-01 8:41:41,0,0
544379067,2019-12-01 8:46:11,1,0.1
476613717,2019-12-01 8:46:47,0,0
569593049,2019-12-01 8:46:53,0,0
492360827,2019-12-01 8:47:10,0,0
324847035,2019-12-01 8:47:43,0,0
580118887,2019-12-01 8:49:10,0,0
534779173,2019-12-01 8:49:36,0,0
578875487,2019-12-01 8:53:23,1,0.25
338927162,2019-12-01 8:57:06,0,0
506885505,2019-12-01 8:57:35,0,0.5
562257008,2019-12-01 8:58:14,0,0
