id,basket_id,product_id
1,12878,4554
2,12879,4600
3,12880,4607
4,12881,4640
5,12882,4689
6,12883,4768
7,12884,4820
8,12885,4870
9,12886,5811642
10,12887,5887055
11,12888,5894905
12,12889,5894906
13,12890,5894907
14,12892,5894908
15,12893,5894910
16,12894,5894911
17,12895,5894913
18,12897,5894916
19,12899,5894917
20,12900,5894918
21,12901,5894920
22,12902,5836492
23,12903,5836493
24,12904,5836494
25,12905,5836495
26,12907,5836500
27,12908,5836501
28,12909,5836504
29,12910,5836519
30,12911,5836527
31,12912,5333
32,12913,5313
33,12914,5865168
34,12916,4958
35,12917,5335
36,12918,5666749
37,12919,5705002
38,12921,5750301
39,12922,5761411
40,12923,5763416
41,12924,5774857
42,12925,5784982
43,12926,5809261
44,12927,5809280
45,12928,5810157
46,12929,5833322
47,12930,5833325
48,12931,5833326
49,12932,5833327
50,12933,5833332
51,12934,5840113
52,12935,5845196
53,12936,5870867
54,12937,5877597
55,12938,5877603
56,12939,5896457
57,12940,5773372
58,12941,5814831
59,12942,5815137
60,12943,5857332
61,12945,5896421
62,12946,8381
63,12947,5778931
64,12948,3978
65,12949,4743
66,12950,5212
67,12951,5256
68,12952,5550162
69,12953,5805751
70,12954,5812925
71,12955,5815633
72,12956,60181
73,12957,5854897
74,12958,5759347
75,12959,5770040
76,12960,5770031
77,12961,5769917
78,12963,5738762
79,12964,5698326
80,12965,5677456
81,12966,36406
82,12967,5803082
83,12968,5769898
84,12969,5812114
85,12970,5861411
86,12971,4591
87,12972,5587658
88,12973,5700037
89,12974,5700038
90,12975,5700049
91,12976,5862564
92,12977,5877490
93,12978,5815774
94,12979,5663027
95,12980,5809211
96,12981,5809288
97,12982,5833330
98,12983,5839412
99,12984,5851103
100,12985,5851104
101,12986,5851105
102,12987,5864736
103,12988,5864737
104,12989,5870838
105,12990,5873430
106,12991,5885376
107,12992,5650610
108,12993,5692863
109,12994,5700046
110,12995,5700854
111,12996,5742926
112,12997,5772306
113,12998,5775410
114,12999,5795387
115,13000,5807805
116,13001,5814042
117,13002,5819231
118,13003,5819238
119,13005,5819256
120,13006,5830532
121,13007,5835920
122,13008,5848406
123,13009,5848430
124,13010,5853695
125,13011,5859402
126,13012,5862295
127,13013,5900636
128,13015,5901661
129,13016,5906100
130,13017,5906102
131,13018,5906116
132,13019,5906118
133,13020,5561284
134,13021,5629194
135,13022,5774897
136,13023,5813061
137,13024,5830563
138,13025,5859407
139,13026,59892
140,13029,5798089
141,13030,5861766
142,13031,5894147
143,13032,30194
144,13035,5836343
145,13036,5851607
146,13037,5851608
147,13038,5851611
148,13039,5851612
149,13040,5864739
150,13041,5864740
151,13044,5774331
152,13047,5774341
153,13048,5774348
154,13049,5812123
155,13050,5853235
156,13051,5864626
157,13052,5261
158,13053,5689469
159,13055,5846814
160,13056,5854596
161,13057,5809865
162,13058,5882399
163,13059,5883100
164,13060,5622677
165,13061,5733776
166,13062,5747404
167,13063,5814066
168,13064,3936
169,13068,5804462
170,13069,5898244
171,13071,38483
172,13072,4967
173,13073,5542
174,13074,5846404
175,13075,6414
176,13076,6460
177,13077,6545
178,13078,5689188
179,13079,5857862
180,13080,5886195
181,13081,5899967
182,13082,5776130
183,13083,5849879
184,13084,5586372
185,13085,5809910
186,13086,5812957
187,13087,5834973
188,13088,40090
189,13089,5599831
190,13090,5697461
191,13091,5793703
192,13092,5853713
193,13093,5678741
194,13094,5760173
195,13095,5807859
196,13096,5824803
197,13097,5835924
198,13098,5837197
199,13099,5838938
200,13100,5857670
201,13101,5900641
202,13102,5900643
203,13103,5707753
204,13104,5809911
205,13105,5809912
206,13106,5901616
207,13107,4895
208,13108,4901
209,13109,4969
210,13110,5678468
211,13112,5808266
212,13113,5732020
213,13114,5826000
214,13115,5839314
215,13116,5557804
216,13117,5745714
217,13118,5774328
218,13119,5877505
219,13120,5751422
220,13121,5849033
221,13122,5688691
222,13123,5689191
223,13124,5716623
224,13066,5716624
225,13125,5761284
226,13126,5761285
227,13127,5765509
228,13128,5784677
229,13129,5812138
230,13130,5829286
231,13131,5829347
232,13132,5849914
233,13133,5748205
234,13135,5649235
235,13136,5808510
236,13137,5810136
237,13138,5834160
238,13139,5834170
239,13140,5834173
240,13142,5834174
241,13143,5836487
242,13145,5836515
243,13146,5836522
244,13147,5836528
245,13149,5836529
246,13150,5857045
247,13151,5907070
248,13152,5877457
249,13153,5939
250,13154,4637
251,13156,4653
252,13157,4905
253,13158,5408
254,13159,5552
255,13160,5688035
256,13161,5810171
257,13162,8702
258,13163,4594
259,13164,5695824
260,13165,43191
261,13166,5013
262,13167,5761039
263,13168,5778722
264,13169,5778737
265,13170,5778744
266,13172,5779815
267,13173,5814046
268,13174,5857360
269,13175,5846437
270,13177,5846804
271,13178,59002
272,13179,37996
273,13180,38004
274,13181,5304
275,13182,5651665
276,13183,5651667
277,13184,59003
278,13185,59004
279,13186,5862305
280,13187,5862310
281,13188,5877482
282,13189,5900353
283,13190,5900614
284,13191,5902752
285,13192,5705014
286,13193,5732016
287,13194,5834649
288,13195,5814730
289,13196,5787035
290,13197,5809249
291,13198,5833331
292,13199,5610128
293,13200,5704370
294,13201,5375
295,13202,6941
296,13203,5774340
297,13204,5697463
298,13205,5677043
299,13206,5587
300,13207,40094
301,13208,40095
302,13209,40099
303,13210,40105
304,13211,40886
305,13213,42615
306,13214,4560
307,13215,4670
308,13216,4793
309,13217,4841
310,13218,5567750
311,13219,5567762
312,13221,5587636
313,13222,5599203
314,13223,5682469
315,13224,5704995
316,13225,5707757
317,13226,5707758
318,13228,5707759
319,13230,5725886
320,13231,5725889
321,13232,5725891
322,13233,5725892
323,13234,5725894
324,13235,5767378
325,13236,5786613
326,13237,5809227
327,13238,5841842
328,13239,5848901
329,13240,5848908
330,13242,5862943
331,13243,5877486
332,13244,5877493
333,13246,5877496
334,13247,5906096
335,13248,5906098
336,13249,5885307
337,13250,5885313
338,13252,5857357
339,13253,5712789
340,13254,5869143
341,13255,5878149
342,13256,5878151
343,13257,5696150
344,13258,5696185
345,13259,5696860
346,13260,5723529
347,13261,5774332
348,13262,5836548
349,13263,5897978
350,13264,5900634
351,13265,5902687
352,13266,5816169
353,13267,5816172
354,13268,5769927
355,13269,5788779
356,13270,5792799
357,13271,37049
358,13273,5564536
359,13274,5824196
360,13275,5824810
361,13276,5834460
362,13277,5834461
363,13278,5834463
364,13279,5834465
365,13280,5836309
366,13281,5867044
367,13282,5877697
368,13283,5877698
369,13284,5877700
370,13286,5877711
371,13287,5877846
372,13288,5877847
373,13289,5877848
374,13290,5877849
375,13291,5877851
376,13292,5877860
377,13294,5889474
378,13295,5896413
379,13296,6946
380,13297,5276
381,13298,5750376
382,13299,5759469
383,13300,5788525
384,13301,5790689
385,13302,5809229
386,13303,5809303
387,13304,5814062
388,13305,5819114
389,13306,5830505
390,13307,5833324
391,13308,5833334
392,13309,5837290
393,13310,5839658
394,13311,5848407
395,13313,5848909
396,13314,5854892
397,13315,5889695
398,13316,5889696
399,13317,5896443
400,13318,5906108
401,13319,5694162
402,13320,5694166
403,13321,5778108
404,13322,5793704
405,13323,5814047
406,13324,5814048
407,13325,5814049
408,13326,5814050
409,13327,5814051
410,13328,5814052
411,13329,5873073
412,13330,5885417
413,13331,5463
414,13332,5909237
415,13333,5588154
416,13334,5600453
417,13335,5714118
418,13336,5898239
419,13337,5809855
